owner_id,date_created,proj_name,proj_desc,location,category,charity_org,donation_total,donation_goal
17,20150615,Tournedos Kiln Reactivation,Knickers informally batteled rascally gabion burningly.,Kuwait,cirques,Almeda Fones,0,107919
22,20150827,Lugubriousness Outglaring Exciters,Petronels accursedly reacquaints approbative testas vivace.,Burundi,resemblance,Ismael Lem,0,189286
18,20150116,Wordiness Revise Strawboards,Teledu upstaging kaolinize hazardable harim aboriginally.,Iraq,poetastry,Wan Em,0,372865
19,20150213,Pediments Misallying Yeoman,Demission anon nebulized mythical twier moveably.,Tunisia,rehearsal,Keisha Eicke,0,389225
10,20150613,Reprieve Tweets Epistoler,Commemoration pronominally stigmatized dural millibars enow.,Cyprus,devises,Homer Paolucci,0,398169
10,20150115,Imperative Mischarging Eponyms,Rave-Ups stepwise glozed connivent blowfish plumb.,Dominica,crinite,Berenice Coverdell,0,384527
1,20150618,Favourers Locks Clunch,Chit pontifically medicines tribunicial enchanter discouragingly.,Tuvalu,ponytail,Letisha Buckett,0,350250
18,20150520,Hybrids Entwined Genuflexion,Carlsbad graphicly personate spattered vacationist haphazard.,Sierra Leone,octosyllables,Kristine Wickert,0,494925
22,20150115,Potch Codifies Monogenist,Scythe yet lours manky heptarchy extensively.,Estonia,gentilism,Adriane Borriello,0,406337
18,20150517,Gadoids Bosses Taino,Tibias trustingly enfranchised lozengy woomerang titularly.,Maldives,coop,Tommie Wilhelmsen,0,232515
19,20150518,Vinegar Swapping Aviaries,Allelomorphs plum expostulate unseeded shadoofs inanely.,Taiwan,leister,Catarina Mazzillo,0,100003
